index,parking_lot_fee,parking_lot_none,parking_lot_public,parking_lot_street,parking_lot_valet parking,parking_lot_validated parking,parking_lot_yes
132560,0.0,0.0,1.0,0.0,0.0,0.0,0.0
132561,0.0,1.0,0.0,0.0,0.0,0.0,0.0
132564,0.0,1.0,0.0,0.0,0.0,0.0,0.0
132572,0.0,0.0,0.0,0.0,0.0,0.0,1.0
132583,0.0,1.0,0.0,0.0,0.0,0.0,0.0
132584,0.0,0.0,0.0,0.0,0.0,0.0,1.0
132594,0.0,0.0,1.0,0.0,0.0,0.0,0.0
132608,0.0,0.0,1.0,0.0,0.0,0.0,0.0
132609,0.0,0.0,0.0,0.0,0.0,0.0,1.0
132613,0.0,0.0,0.0,0.0,0.0,0.0,1.0
132626,0.0,0.0,0.0,0.0,0.0,0.0,1.0
132630,0.0,1.0,0.0,0.0,0.0,0.0,0.0
132654,0.0,1.0,0.0,0.0,0.0,0.0,0.0
132660,0.0,1.0,0.0,0.0,0.0,0.0,0.0
132663,0.0,1.0,0.0,0.0,0.0,0.0,0.0
132665,0.0,1.0,0.0,0.0,0.0,0.0,0.0
132667,0.0,1.0,0.0,0.0,0.0,0.0,0.0
132668,0.0,1.0,0.0,0.0,0.0,0.0,0.0
132706,0.0,0.0,1.0,0.0,0.0,0.0,0.0
132715,0.0,1.0,0.0,0.0,0.0,0.0,0.0
132717,0.0,0.0,1.0,0.0,0.0,0.0,0.0
132723,0.0,0.0,1.0,0.0,0.0,0.0,0.0
132732,0.0,1.0,0.0,0.0,0.0,0.0,0.0
132733,0.0,0.0,0.0,0.0,0.0,0.0,1.0
132740,0.0,1.0,0.0,0.0,0.0,0.0,0.0
132754,0.0,1.0,0.0,0.0,0.0,0.0,0.0
132755,0.0,0.0,1.0,0.0,0.0,0.0,0.0
132766,0.0,0.0,0.0,0.0,0.0,0.0,1.0
132767,0.0,0.0,0.0,0.0,0.0,0.0,1.0
132768,0.0,1.0,0.0,0.0,0.0,0.0,0.0
132773,0.0,1.0,0.0,0.0,0.0,0.0,0.0
132825,0.0,1.0,0.0,0.0,0.0,0.0,0.0
132830,0.0,1.0,0.0,0.0,0.0,0.0,0.0
132834,0.0,0.0,1.0,0.0,0.0,0.0,0.0
132845,0.0,1.0,0.0,0.0,0.0,0.0,0.0
132846,0.0,1.0,0.0,0.0,0.0,0.0,0.0
132847,0.0,1.0,0.0,0.0,0.0,0.0,0.0
132851,0.0,0.0,0.0,0.0,0.0,0.0,1.0
132854,0.0,0.0,0.0,0.0,0.0,0.0,1.0
132856,0.0,1.0,0.0,0.0,0.0,0.0,0.0
132858,0.0,1.0,0.0,0.0,0.0,0.0,0.0
132861,0.0,0.0,0.0,0.0,0.0,0.0,1.0
132862,0.0,0.0,0.0,0.0,1.0,0.0,0.0
132866,0.0,0.0,0.0,0.0,0.0,0.0,1.0
132869,0.0,0.0,0.0,0.0,0.0,0.0,1.0
132870,0.0,1.0,0.0,0.0,0.0,0.0,0.0
132872,0.0,0.0,1.0,0.0,0.0,0.0,0.0
132875,0.0,0.0,0.0,0.0,1.0,0.0,0.0
132877,0.0,1.0,0.0,0.0,0.0,0.0,0.0
132884,0.0,1.0,0.0,0.0,0.0,0.0,0.0
132885,0.0,0.0,1.0,0.0,0.0,0.0,0.0
132921,0.0,1.0,0.0,0.0,0.0,0.0,0.0
132922,0.0,1.0,0.0,0.0,0.0,0.0,0.0
132925,0.0,1.0,0.0,0.0,0.0,0.0,0.0
132937,0.0,1.0,0.0,0.0,0.0,0.0,0.0
132951,0.0,0.0,0.0,0.0,0.0,0.0,1.0
132954,0.0,0.0,0.0,0.0,0.0,0.0,1.0
132955,0.0,1.0,0.0,0.0,0.0,0.0,0.0
132958,0.0,1.0,0.0,0.0,0.0,0.0,0.0
134975,0.0,0.0,0.0,0.0,1.0,0.0,0.0
134976,0.0,0.0,0.0,0.0,0.0,0.0,1.0
134983,0.0,0.0,0.0,0.0,0.0,0.0,1.0
134986,0.0,0.0,0.0,0.0,0.0,0.0,1.0
134987,0.0,1.0,0.0,0.0,0.0,0.0,0.0
134992,0.0,0.0,0.0,0.0,0.0,0.0,1.0
134996,0.0,0.0,0.0,0.0,0.0,0.0,1.0
134999,0.0,1.0,0.0,0.0,0.0,0.0,0.0
135000,0.0,1.0,0.0,0.0,0.0,0.0,0.0
135001,0.0,0.0,0.0,0.0,0.0,0.0,1.0
135011,0.0,1.0,0.0,0.0,0.0,0.0,0.0
135013,0.0,1.0,0.0,0.0,0.0,0.0,0.0
135016,0.0,1.0,0.0,0.0,0.0,0.0,0.0
135018,0.0,0.0,0.0,0.0,0.0,0.0,1.0
135019,0.0,1.0,0.0,0.0,0.0,0.0,0.0
135021,0.0,0.0,1.0,0.0,0.0,0.0,0.0
135025,0.0,1.0,0.0,0.0,0.0,0.0,0.0
135026,0.0,1.0,0.0,0.0,0.0,0.0,0.0
135027,0.0,1.0,0.0,0.0,0.0,0.0,0.0
135028,0.0,1.0,0.0,0.0,0.0,0.0,0.0
135030,0.0,1.0,0.0,0.0,0.0,0.0,0.0
135032,0.0,0.0,1.0,0.0,0.0,0.0,0.0
135033,0.0,1.0,0.0,0.0,0.0,0.0,0.0
135034,0.0,1.0,0.0,0.0,0.0,0.0,0.0
135035,0.0,0.0,0.0,0.0,0.0,0.0,1.0
135038,0.0,1.0,0.0,0.0,0.0,0.0,0.0
135039,0.0,0.0,0.0,0.0,0.0,0.0,1.0
135040,0.0,0.0,0.0,0.0,0.0,0.0,1.0
135041,0.0,1.0,0.0,0.0,0.0,0.0,0.0
135042,0.0,1.0,0.0,0.0,0.0,0.0,0.0
135043,0.0,1.0,0.0,0.0,0.0,0.0,0.0
135044,0.0,1.0,0.0,0.0,0.0,0.0,0.0
135045,0.0,0.0,0.0,0.0,0.0,0.0,1.0
135046,0.0,0.0,0.0,0.0,0.0,0.0,1.0
135047,0.0,0.0,0.0,0.0,0.0,0.0,1.0
135048,0.0,0.0,0.0,0.0,0.0,0.0,1.0
135049,0.0,1.0,0.0,0.0,0.0,0.0,0.0
135050,0.0,0.0,0.0,0.0,0.0,0.0,1.0
135051,0.0,1.0,0.0,0.0,0.0,0.0,0.0
135052,0.0,1.0,0.0,0.0,0.0,0.0,0.0
135053,0.0,0.0,0.0,0.0,0.0,0.0,1.0
135054,0.0,0.0,0.0,0.0,0.0,0.0,1.0
135055,0.0,0.0,0.0,0.0,0.0,0.0,1.0
135057,0.0,0.0,0.0,0.0,0.0,0.0,1.0
135058,0.0,0.0,1.0,0.0,0.0,0.0,0.0
135059,0.0,0.0,0.0,0.0,0.0,0.0,1.0
135060,0.0,1.0,0.0,0.0,0.0,0.0,0.0
135062,0.0,0.0,0.0,0.0,0.0,0.0,1.0
135063,0.0,1.0,0.0,0.0,0.0,0.0,0.0
135064,0.0,0.0,0.0,0.0,0.0,0.0,1.0
135065,0.0,1.0,0.0,0.0,0.0,0.0,0.0
135066,0.0,0.0,0.0,0.0,0.0,0.0,1.0
135069,0.0,0.0,0.0,0.0,0.0,0.0,1.0
135070,0.0,0.0,0.0,0.0,0.0,0.0,1.0
135071,0.0,0.0,0.0,0.0,0.0,0.0,1.0
135072,0.0,1.0,0.0,0.0,0.0,0.0,0.0
135073,0.0,0.0,0.0,0.0,0.0,0.0,1.0
135074,0.0,0.0,1.0,0.0,0.0,0.0,0.0
135075,0.0,0.0,0.0,0.0,0.0,0.0,1.0
135076,0.0,0.0,0.0,0.0,0.0,0.0,1.0
135079,0.0,1.0,0.0,0.0,0.0,0.0,0.0
135080,0.0,1.0,0.0,0.0,0.0,0.0,0.0
135081,0.0,1.0,0.0,0.0,0.0,0.0,0.0
135082,0.0,1.0,0.0,0.0,0.0,0.0,0.0
135085,0.0,0.0,1.0,0.0,0.0,0.0,0.0
135086,0.0,0.0,0.0,0.0,0.0,0.0,1.0
135088,0.0,0.0,1.0,0.0,0.0,0.0,0.0
135104,0.0,0.0,0.0,0.0,0.0,0.0,1.0
135106,0.0,1.0,0.0,0.0,0.0,0.0,0.0
135108,0.0,1.0,0.0,0.0,0.0,0.0,0.0
135109,0.0,1.0,0.0,0.0,0.0,0.0,0.0
